,Difficulty_Level,Key,Link,Range,Tempo,Time_Signature,Title,,,
796,intermediate,A major,/tunes/79ths-farewell-to-gibraltar.pdf,"('A', '4', 'A', '5')",96 BPM,4-Feb,79th's Farewell to Gibraltar,A,4,/tunes/79ths-farewell-to-gibraltar
780,intermediate,A major,/tunes/sullivan-the-yeoman-of-the-guard-a-man-who-would-woo-a-fair-maid.pdf,"('E', '4', 'A', '6')",72 BPM,8-Jun,A Man Who Would Woo a Fair Maid The Yeoman of the Guard,A,4,/tunes/sullivan-the-yeoman-of-the-guard-a-man-who-would-woo-a-fair-maid
1605,intermediate,A major,/tunes/wanhal-op10-sonata-no1-ii-adagio.pdf,"('D', '4', 'G', '6')",40 BPM,4-Feb,Adagio Sonata No. 1 in G major,A,4,/tunes/wanhal-op10-sonata-no1-ii-adagio
268,easy,A major,/tunes/adeste-fideles.pdf,"('E', '4', 'E', '5')",80 BPM,4-Apr,Adeste Fideles,A,4,/tunes/adeste-fideles
1859,intermediate,A major,/tunes/blavet-op1-sonata-no6-iv-affettuoso.pdf,"('E', '4', 'B', '5')",112 BPM,4-Mar,Affettuoso Sonata for Two Flutes No. 6 in A major,A,4,/tunes/blavet-op1-sonata-no6-iv-affettuoso
2051,intermediate,A major,/tunes/naudot-op1-no5-iv-air-en-rondeau.pdf,"('E', '4', 'C#', '6')",120 BPM,8-Mar,Air en Rondeau Flute Sonata No. 5 in A major,A,4,/tunes/naudot-op1-no5-iv-air-en-rondeau
841,intermediate,A major,/tunes/all-the-blue-bonnets-are-over-the-border.pdf,"('G', '4', 'A', '5')",108 BPM,8-Jun,All the Blue Bonnets Are Over the Border,A,4,/tunes/all-the-blue-bonnets-are-over-the-border
2002,easy,A major,/tunes/allan-ramsay.pdf,"('G\xe2\x99\xae', '4', 'A', '5')",96 BPM,8-Jun,Allan Ramsay,A,4,/tunes/allan-ramsay
2561,advanced,A major,/tunes/wanhal-op10-sonata-no4-i-allegro.pdf,"('C#', '4', 'F#', '6')",76 BPM,4-Apr,Allegro Sonata No. 4 in A major,A,4,/tunes/wanhal-op10-sonata-no4-i-allegro
2566,intermediate,A major,/tunes/jensen-op16-no4-i-allegro.pdf,"('C\xe2\x99\xae', '4', 'G\xe2\x99\xae', '6')",100 BPM,8-Jun,"Allegro Six duos faciles et brillants, No. 4",A,4,/tunes/jensen-op16-no4-i-allegro
1831,intermediate,A major,/tunes/blavet-op1-sonata-no6-i-allegro.pdf,"('D#', '4', 'C#', '6')",108 BPM,4-Feb,Allegro Sonata for Two Flutes No. 6 in A major,A,4,/tunes/blavet-op1-sonata-no6-i-allegro
1388,intermediate,A major,/tunes/ranish-op2-no4-allegro.pdf,"('D#', '4', 'D', '6')",116 BPM,2-Feb,Allegro Flute Sonata No. 4 in A major,A,4,/tunes/ranish-op2-no4-allegro
1955,intermediate,A major,/tunes/albinoni-trattenimenti-armonici-no11-ii-allegro.pdf,"('C#', '4', 'D', '6')",96 BPM,4-Apr,"Allegro Trattenimenti armonici, Sonata No. 11 in A major",A,4,/tunes/albinoni-trattenimenti-armonici-no11-ii-allegro
1190,intermediate,A major,/tunes/chedeville-il-pastor-fido-sonata-no4-allegro.pdf,"('E', '4', 'B', '5')",100 BPM,4-Feb,"Allegro Il pastor fido, Sonata No. 4",A,4,/tunes/chedeville-il-pastor-fido-sonata-no4-allegro
1991,intermediate,A major,/tunes/albinoni-trattenimenti-armonici-no11-iv-allegro.pdf,"('C#', '4', 'B', '5')",192 BPM,8-Mar,"Allegro Trattenimenti armonici, Sonata No. 11 in A major",A,4,/tunes/albinoni-trattenimenti-armonici-no11-iv-allegro
1500,intermediate,A major,/tunes/telemann-six-sonatas-for-two-flutes-no3-allegro.pdf,"('D', '4', 'D', '6')",108 BPM,4-Feb,"Allegro Sonates sans Basse Ã  deux Flutes traverses, No. 5",A,4,/tunes/telemann-six-sonatas-for-two-flutes-no3-allegro
1272,intermediate,A major,/tunes/scherer-flute-trio-no1-iii-allegro.pdf,"('D', '4', 'E', '6')",80 BPM,8-Mar,Allegro Flute Trio No. 1,A,4,/tunes/scherer-flute-trio-no1-iii-allegro
1871,intermediate,A major,/tunes/blavet-op1-sonata-no6-v-allegro-assai.pdf,"('D', '4', 'C#', '6')",120 BPM,4-Mar,Allegro assai Sonata for Two Flutes No. 6 in A major,A,4,/tunes/blavet-op1-sonata-no6-v-allegro-assai
1182,intermediate,A major,/tunes/chedeville-il-pastor-fido-sonata-no4-allegro-ma-non-presto.pdf,"('E', '4', 'B', '5')",92 BPM,4-Mar,"Allegro ma non presto Il pastor fido, Sonata No. 4",A,4,/tunes/chedeville-il-pastor-fido-sonata-no4-allegro-ma-non-presto
2052,intermediate,A major,/tunes/boismortier-op13-no6-allemande.pdf,"('E', '4', 'B', '5')",56 BPM,4-Apr,"Allemande 12 Petites sonates Ã  deux FlÃ»tes TraversiÃ¨res, No. 6",A,4,/tunes/boismortier-op13-no6-allemande
2068,intermediate,A major,/tunes/boismortier-op13-no6-ii-allemande.pdf,"('E', '4', 'A', '5')",92 BPM,4-Apr,"Allemande 12 Petites sonates Ã  deux FlÃ»tes TraversiÃ¨res, No. 6",A,4,/tunes/boismortier-op13-no6-ii-allemande
2883,easy,A major,/tunes/irishmans-heart-to-the-ladies.pdf,"('E', '4', 'A', '5')",108 BPM,8-Jun,An Irishman's Heart to the Ladies,A,4,/tunes/irishmans-heart-to-the-ladies
3091,intermediate,A major,/tunes/schultze-sonata-for-two-flutes-no3-in-a-major-i-andante.pdf,"('D', '4', 'E', '6')",63 BPM,4-Feb,Andante Sonata for Two Flutes No. 3 in A major,A,4,/tunes/schultze-sonata-for-two-flutes-no3-in-a-major-i-andante
1380,intermediate,A major,/tunes/ranish-op2-no4-andante.pdf,"('E', '4', 'D', '6')",72 BPM,4-Apr,Andante Flute Sonata No. 4 in A major,A,4,/tunes/ranish-op2-no4-andante
